"lane","strain","lastibeforepart2","flfreq","firstpart2ipostdoxstart","firstpart2ipostdoxend","doxconc","date","xy","trap","fullyoccupied","lastobservation","lastobservationtime","MorphologyLastObservation","Buddingstatelastobservation","birth","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34"
1,"yTY159b",154,1,15,39,10,"3_12_19_",1,3,106,"burst",166,"round","small-medium bud",23,33,40,48,55,62,67,75,83,89,95,108,119,133,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",1,5,153,"interference",234,"round","small-medium bud",10,20,28,34,41,48,55,62,69,76,83,90,98,106,113,120,127,134,142,149,155,161,167,173,181,189,195,205,213,222,231,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",1,7,80,"interference",234,"round","small-medium bud",32,38,45,54,60,68,74,81,87,95,102,109,115,122,128,135,142,151,157,166,176,187,197,210,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",1,10,84,"interference",234,"round","small-medium bud",28,37,44,52,58,65,71,78,85,91,98,104,111,117,123,130,137,142,150,156,161,169,175,182,189,196,203,209,216,223,229,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",2,2,119,"interference",222,"round","small-medium bud",37,48,56,62,69,77,84,90,96,101,108,115,120,127,135,141,147,154,160,166,173,181,188,195,203,211,217,224,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",2,4,108,"burst",176,"round","no bud",15,23,31,38,44,51,58,65,72,78,84,92,98,103,111,118,125,132,140,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",2,6,79,"burst",166,"round","no bud",32,35,45,51,60,66,74,80,87,94,101,109,119,126,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",2,7,62,"interference",234,"round","no bud",6,13,22,29,36,42,49,57,63,70,75,83,89,95,101,107,114,121,128,136,144,152,157,166,173,183,193,205,217,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",2,10,71,"burst",146,"round","large bud",11,21,28,35,41,49,54,62,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",3,2,87,"interference",234,"round","small-medium bud",21,26,35,42,49,55,61,69,75,81,88,96,106,112,118,126,132,139,145,151,156,162,169,176,183,192,199,206,212,220,227,233,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",3,5,113,"interference",234,"round","small-medium bud",11,20,28,34,41,48,54,61,68,75,81,88,94,101,108,115,122,128,135,141,147,155,160,168,176,183,191,198,208,218,229,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",3,6,75,"interference",234,"round","small-medium bud",19,26,34,42,48,54,61,68,76,83,89,94,101,108,114,120,128,135,142,149,156,161,169,177,185,195,205,217,228,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",3,7,131,"interference",234,"round","small-medium bud",9,20,28,35,42,49,55,62,67,74,80,86,93,99,105,111,119,124,132,139,147,154,158,164,171,177,185,191,199,205,213,223,231,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",4,4,113,"interference",234,"round","no bud",44,51,59,66,72,79,85,92,99,106,114,120,126,134,144,151,158,167,176,190,207,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",4,5,153,"interference",234,"round","small-medium bud",29,32,40,47,54,60,67,74,80,87,94,100,107,113,119,125,132,140,146,152,157,164,169,178,185,190,197,204,210,218,225,231,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",4,6,57,"interference",234,"round","small-medium bud",13,22,29,37,43,50,58,63,70,77,84,91,98,104,111,117,128,135,143,149,156,160,166,173,180,187,195,204,210,219,231,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",4,7,146,"interference",234,"round","small-medium bud",42,50,57,64,71,78,84,91,96,102,109,115,121,127,133,141,147,154,159,165,171,178,185,193,202,213,226,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",4,9,101,"interference",234,"round","small-medium bud",33,41,49,56,63,70,77,84,89,95,102,108,114,120,127,133,141,147,153,160,166,171,180,189,197,206,217,230,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",4,10,47,"interference",234,"round","small-medium bud",14,19,27,34,40,48,55,62,68,75,81,87,94,100,106,113,119,126,132,139,146,154,161,168,175,181,188,197,205,214,225,234,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",5,2,118,"interference",234,"round","small-medium bud",38,42,53,61,72,78,85,92,99,106,113,119,126,133,141,160,171,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",5,3,97,"interference",231,"round","large bud",44,50,58,65,72,78,85,92,98,104,110,117,124,129,135,142,149,160,166,172,178,185,192,200,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",5,4,76,"interference",234,"round","small-medium bud",32,40,48,56,63,70,77,83,90,97,104,111,117,124,130,137,143,151,156,162,169,176,182,189,195,202,208,216,223,230,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",5,6,103,"burst",203,"round","small-medium bud",2,12,21,30,37,44,50,58,66,72,78,84,92,99,104,112,118,127,133,141,149,156,163,174,186,198,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",5,7,117,"burst",207,"extendedout","no bud",43,50,55,63,70,76,83,89,95,103,108,114,121,127,135,142,151,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",5,8,109,"interference",234,"round","small-medium bud",14,20,27,36,43,49,57,63,71,78,85,92,97,104,110,118,124,131,137,144,150,156,162,169,176,182,189,196,202,211,218,225,232,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",5,9,104,"burst",197,"round","no bud",43,48,56,63,73,79,86,92,99,105,112,118,124,131,138,144,152,156,164,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",5,10,112,"interference",234,"round","small-medium bud",58,70,77,85,91,99,105,110,116,122,128,135,141,147,153,159,165,171,177,185,191,198,205,212,218,225,232,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",6,6,90,"interference",234,"round","no bud",45,58,63,72,78,84,91,97,105,113,122,133,141,157,172,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",6,7,55,"interference",234,"round","small-medium bud",2,6,16,22,30,37,43,50,56,63,69,75,82,89,96,103,110,116,123,130,137,145,153,158,169,179,188,204,224,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",7,7,90,"interference",234,"round","small-medium bud",14,21,28,36,43,49,56,64,70,76,84,91,98,104,111,117,124,130,137,142,151,157,162,168,175,182,189,196,202,210,217,224,232,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",7,8,83,"burst",197,"extendedout","large bud",23,30,38,46,52,59,65,70,77,84,90,98,106,114,123,136,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY159b",154,1,15,39,10,"3_12_19_",8,5,98,"burst",214,"round","small-medium bud",35,45,53,59,66,73,80,86,92,99,106,112,119,124,132,140,146,153,158,164,171,178,185,193,202,210,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",24,3,137,"interference",234,"round","small-medium bud",8,17,24,30,36,42,49,54,60,67,74,81,88,94,102,108,114,119,127,132,141,148,155,159,165,171,179,185,194,201,208,215,222,229,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",24,4,135,"interference",234,"round","small-medium bud",27,34,42,48,54,62,68,76,82,90,97,104,110,117,123,130,136,141,148,156,159,167,174,181,188,196,205,216,224,233,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",24,7,42,"interference",186,"round","large bud",2,9,16,24,30,37,43,49,56,63,69,75,82,90,96,104,111,118,128,138,151,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",24,9,126,"interference",234,"round","small-medium bud",2,6,15,22,29,36,42,48,54,62,68,75,82,88,95,102,108,116,122,129,134,142,149,155,161,167,174,182,189,196,202,209,217,224,231
2,"yTY160a",154,1,15,39,10,"3_12_19_",25,3,60,"burst",161,"round","small-medium bud",2,13,20,27,34,41,49,55,62,69,75,81,86,93,100,107,113,119,129,135,142,150,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",25,4,81,"interference",234,"round","large bud",18,27,34,42,49,55,62,69,75,82,88,94,100,107,113,120,125,132,138,145,153,157,163,170,178,185,194,214,228,NA,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",25,7,60,"interference",234,"round","small-medium bud",19,27,35,41,47,54,61,67,73,80,87,94,101,108,115,122,126,133,140,148,153,157,164,170,176,184,192,199,206,212,219,227,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",25,10,95,"interference",234,"round","small-medium bud",13,18,26,33,39,45,53,60,66,72,78,85,90,96,103,110,117,123,129,135,141,148,154,159,166,172,179,186,192,204,214,224,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",26,2,103,"interference",234,"round","small-medium bud",10,16,23,30,36,44,51,57,63,70,77,84,91,98,104,111,116,124,131,138,145,153,157,166,173,182,192,202,215,230,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",26,3,101,"interference",234,"round","small-medium bud",22,28,36,44,51,57,65,70,76,82,90,95,102,108,115,122,131,139,144,151,157,164,170,177,183,190,196,203,211,224,234,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",26,4,81,"interference",234,"round","small-medium bud",10,16,23,30,37,42,48,54,62,69,76,82,88,94,100,107,113,120,126,135,141,148,154,160,166,174,181,190,199,209,219,229,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",26,5,124,"interference",234,"round","small-medium bud",39,49,57,63,69,75,82,88,96,102,110,118,125,132,140,148,156,165,174,185,194,208,226,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",26,6,96,"burst",210,"round","no bud",37,43,49,57,63,71,78,84,91,97,103,111,116,123,130,138,146,154,161,171,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",26,7,74,"interference",234,"round","large bud",42,46,54,62,68,75,82,88,95,102,109,115,122,129,135,143,149,156,161,167,174,183,193,205,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",26,8,139,"interference",234,"round","small-medium bud",17,24,31,38,45,51,58,66,70,77,83,91,98,104,111,117,122,128,135,141,147,154,160,165,171,178,186,195,204,216,228,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",26,9,106,"interference",234,"round","no bud",14,25,33,40,47,53,60,66,74,80,86,94,100,107,112,118,126,130,137,144,151,157,166,176,187,194,204,215,226,NA,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",26,10,109,"interference",234,"round","small-medium bud",17,28,36,42,49,55,62,68,75,80,91,95,101,109,114,120,126,133,141,148,154,160,167,173,181,189,196,203,211,219,228,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",27,2,89,"interference",234,"round","small-medium bud",43,50,56,62,69,76,83,90,96,102,108,114,120,126,134,140,147,154,159,166,172,180,187,193,200,207,214,221,227,235,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",27,4,105,"burst",155,"round","large bud",31,42,49,55,64,69,75,82,87,94,100,106,114,122,130,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",27,8,64,"interference",234,"round","small-medium bud",2,12,19,26,33,39,45,51,58,65,72,78,84,91,97,104,111,117,124,131,138,146,154,163,171,181,192,207,216,230,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",27,10,84,"interference",234,"round","small-medium bud",25,28,39,45,51,58,65,72,78,85,91,97,103,110,116,122,129,135,142,148,154,159,166,173,180,188,196,204,213,222,231,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",28,7,96,"interference",233,"round","small-medium bud",40,49,58,65,70,77,84,90,97,103,109,116,123,129,136,143,149,154,160,166,173,180,186,193,201,208,222,229,NA,NA,NA,NA,NA,NA,NA
2,"yTY160a",154,1,15,39,10,"3_12_19_",28,8,122,"interference",227,"round","small-medium bud",39,46,54,62,68,75,82,91,101,108,115,127,141,162,173,193,208,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
