"lane","strain","lastibeforepart2","flfreq","firstpart2ipostdoxstart","firstpart2ipostdoxend","doxconc","date","xy","trap","fullyoccupied","lastobservation","lastobservationtime","MorphologyLastObservation","Buddingstatelastobservation","birth","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33"
1,"yTY160a",154,1,15,39,10,"3_25_19_",1,2,92,"interference",234,"round","small-medium bud",48,58,66,73,79,85,92,98,104,110,117,125,131,139,146,153,164,174,184,192,200,208,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",1,3,54,"burst",176,"round","no bud",2,12,20,27,33,40,47,54,61,67,73,79,87,95,102,110,117,125,135,145,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",1,4,64,"burst",228,"round","small-medium bud",12,23,32,38,44,53,58,64,71,80,86,94,99,106,111,118,124,131,139,147,154,161,170,177,185,194,205,217,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",1,5,97,"interference",234,"round","small-medium bud",11,20,30,35,43,49,55,62,71,77,85,91,97,103,113,120,129,137,143,151,160,167,177,186,194,203,213,225,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",1,6,101,"interference",234,"round","small-medium bud",33,42,51,59,67,72,80,86,94,101,107,113,120,126,133,142,149,155,162,168,176,185,190,198,204,209,216,223,230,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",1,7,63,"interference",234,"round","small-medium bud",19,29,35,42,50,56,63,69,76,82,88,94,101,108,114,120,126,132,138,144,151,158,165,171,177,184,193,202,209,217,229,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",1,9,52,"interference",227,"round","misshapen bud",7,17,25,32,39,46,52,59,67,73,80,86,91,97,104,111,116,124,132,138,145,151,158,166,174,183,198,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",1,10,72,"burst",199,"round","small-medium bud",1,10,18,26,32,39,46,52,60,66,72,78,85,92,99,105,110,118,123,131,137,145,154,164,173,187,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",2,1,106,"burst",163,"round","small-medium bud",31,39,47,54,61,67,74,82,87,93,100,106,113,119,125,131,139,145,151,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",2,2,46,"interference",234,"round","small-medium bud",11,17,24,32,38,46,53,62,68,74,81,88,94,100,107,115,123,131,139,148,160,173,192,210,234,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",2,5,74,"interference",234,"round","small-medium bud",29,32,41,47,54,60,67,74,81,87,95,101,108,114,120,127,133,139,145,151,158,164,171,178,185,192,199,210,215,224,229,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",2,6,78,"interference",233,"round","small-medium bud",29,37,45,52,59,67,73,78,86,91,97,105,111,117,125,132,140,152,162,174,188,205,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",2,7,78,"interference",234,"round","small-medium bud",23,31,38,46,53,59,65,73,78,87,94,100,108,113,120,127,134,141,147,153,160,167,173,181,188,196,203,211,220,229,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",2,8,61,"interference",234,"round","small-medium bud",4,11,18,24,32,39,45,53,61,67,74,80,89,96,102,109,116,125,132,138,146,154,162,172,181,189,207,222,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",2,10,69,"burst",175,"round","small-medium bud",14,18,28,34,41,48,55,63,69,76,83,89,97,103,110,115,123,130,138,148,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",3,1,78,"burst",173,"round","small-medium bud",35,41,49,56,64,71,78,84,91,98,105,111,120,126,134,142,148,157,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",3,4,75,"interference",234,"round","small-medium bud",8,26,34,41,47,55,61,67,75,80,89,94,100,107,115,124,130,135,142,148,154,161,170,177,184,191,197,205,213,219,225,232,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",3,5,153,"burst",172,"extendedout","small-medium bud",44,54,64,68,75,81,88,95,102,110,117,128,141,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",3,6,78,"burst",139,"round","small-medium bud",1,6,15,22,30,37,45,52,58,65,72,78,85,92,99,107,113,120,129,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",3,7,76,"interference",234,"round","small-medium bud",32,38,45,55,62,68,76,83,89,95,101,108,114,121,127,134,141,148,156,163,170,177,184,190,196,204,210,217,224,231,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",4,8,49,"interference",234,"round","small-medium bud",1,7,16,21,30,35,42,49,55,64,69,76,82,90,96,103,109,116,123,129,135,141,148,154,160,167,174,185,192,199,207,218,227,234
1,"yTY160a",154,1,15,39,10,"3_25_19_",4,10,125,"interference",234,"round","small-medium bud",18,24,34,40,47,53,60,67,74,80,87,94,100,107,113,120,125,131,138,145,152,161,169,177,186,195,205,215,231,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",5,5,41,"interference",234,"round","small-medium bud",6,14,20,29,34,41,47,55,59,66,73,81,88,95,101,107,113,120,126,133,139,146,152,159,166,172,179,186,192,199,205,212,220,229
1,"yTY160a",154,1,15,39,10,"3_25_19_",5,7,73,"interference",234,"round","small-medium bud",33,39,47,55,61,66,73,81,87,94,99,106,112,118,125,132,138,145,152,159,168,176,183,192,202,215,229,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",6,2,62,"burst",190,"round","small-medium bud",2,8,27,35,42,48,55,62,68,76,82,88,95,102,108,114,121,127,134,142,150,159,168,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",6,3,109,"interference",234,"round","no bud",21,34,46,60,79,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",6,5,64,"interference",234,"round","small-medium bud",1,6,15,21,29,36,43,50,58,64,71,78,85,92,98,105,112,120,127,131,139,145,153,159,167,177,188,201,218,229,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",6,8,57,"interference",234,"round","small-medium bud",20,31,37,44,50,57,64,69,75,81,89,94,101,108,114,121,128,134,140,146,153,162,168,177,186,195,205,217,228,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",6,9,101,"interference",234,"round","small-medium bud",47,53,63,70,75,81,88,95,101,107,114,120,126,133,140,148,154,162,170,179,189,197,209,219,231,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",7,2,84,"interference",234,"round","small-medium bud",16,23,29,38,45,51,58,64,70,77,84,90,96,103,110,118,124,132,139,147,154,160,168,177,186,195,204,218,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",7,6,114,"interference",234,"round","small-medium bud",27,36,46,54,59,67,74,80,86,92,99,107,113,119,125,131,139,146,154,162,170,178,188,198,209,225,NA,NA,NA,NA,NA,NA,NA,NA
1,"yTY160a",154,1,15,39,10,"3_25_19_",7,8,72,"burst",226,"round","large bud",16,24,32,39,45,52,59,65,72,79,85,92,99,106,112,119,125,132,139,146,155,165,175,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",24,2,100,"interference",234,"round","small-medium bud",27,35,43,50,56,64,69,74,83,89,95,102,110,116,124,132,140,149,159,174,194,211,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",24,3,153,"interference",234,"round","small-medium bud",6,15,23,29,35,41,47,54,59,65,72,78,85,92,99,106,113,120,127,135,144,154,167,179,196,211,224,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",24,4,95,"interference",234,"round","small-medium bud",16,28,33,41,48,55,61,67,74,81,95,101,108,116,124,134,144,154,165,179,194,210,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",24,5,144,"interference",234,"round","small-medium bud",25,31,40,47,54,60,66,73,81,87,92,98,105,111,118,125,132,137,143,151,157,163,170,176,183,189,195,202,209,216,222,230,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",24,6,112,"interference",234,"round","small-medium bud",45,54,63,69,75,81,89,95,102,112,126,151,171,197,215,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",24,8,58,"interference",234,"round","small-medium bud",11,17,25,32,39,47,52,58,64,72,77,84,90,97,104,110,116,123,128,135,142,149,155,161,167,174,180,186,193,199,207,213,221,229
2,"yTY159b",154,1,15,39,10,"3_25_19_",24,9,86,"burst",184,"round","small-medium bud",34,45,52,60,65,73,80,86,91,97,104,109,116,123,128,134,140,147,154,160,165,172,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",25,2,65,"interference",234,"round","large bud",9,17,26,32,38,47,52,58,65,70,77,84,91,97,103,110,115,121,127,134,141,148,154,164,174,187,206,220,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",25,3,63,"burst",138,"round","small-medium bud",12,17,25,31,37,43,50,56,63,69,76,82,88,94,101,107,113,120,127,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",25,4,50,"interference",234,"round","small-medium bud",7,16,24,31,39,45,50,57,64,70,77,82,89,96,101,107,114,121,128,134,140,147,155,161,171,179,186,193,203,212,227,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",25,7,70,"interference",234,"round","small-medium bud",24,29,36,44,50,56,64,70,76,82,88,95,102,108,114,119,125,132,138,144,151,157,162,169,176,183,189,196,202,209,216,224,230,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",25,8,93,"interference",234,"round","small-medium bud",9,18,28,34,41,48,54,60,67,74,81,87,93,100,107,113,120,126,133,140,146,152,157,164,170,178,184,190,196,202,209,216,223,229
2,"yTY159b",154,1,15,39,10,"3_25_19_",25,9,80,"interference",234,"round","small-medium bud",29,37,46,52,60,66,72,80,86,93,100,105,111,117,126,135,140,147,154,160,166,173,179,189,195,202,208,215,221,228,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",26,6,93,"interference",234,"round","large bud",30,37,44,51,58,65,75,82,93,102,117,127,136,155,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",26,7,52,"interference",234,"round","large bud",5,13,21,28,34,40,46,52,58,65,72,79,85,92,99,106,113,120,127,136,147,158,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",26,8,62,"interference",234,"round","small-medium bud",6,15,21,28,34,41,46,53,62,69,74,84,91,97,104,110,116,122,130,136,142,149,155,165,170,177,184,190,197,202,209,216,224,230
2,"yTY159b",154,1,15,39,10,"3_25_19_",27,2,66,"burst",137,"extendedout","small-medium bud",1,8,16,24,31,36,43,50,57,66,75,101,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",28,4,28,"interference",234,"round","small-medium bud",1,9,16,22,28,35,41,49,54,60,68,74,81,88,95,101,109,115,121,129,136,143,149,156,163,173,180,187,194,199,207,215,223,232
2,"yTY159b",154,1,15,39,10,"3_25_19_",28,5,49,"interference",234,"round","small-medium bud",6,15,23,29,36,43,49,55,62,68,75,82,88,94,101,109,115,122,129,137,147,156,165,174,186,198,207,218,233,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",29,1,150,"interference",234,"round","small-medium bud",1,12,18,25,32,38,46,52,59,64,71,77,83,90,97,103,111,118,124,131,137,144,151,158,166,175,190,214,227,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",29,2,52,"burst",215,"round","no bud",1,12,20,27,32,39,44,52,57,64,72,78,84,89,96,103,110,117,124,131,139,147,156,169,182,197,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",29,4,75,"interference",234,"round","small-medium bud",17,24,32,39,46,53,61,69,78,91,111,162,196,211,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",30,4,92,"interference",234,"round","small-medium bud",29,34,43,50,58,64,71,78,84,91,98,104,111,116,123,128,134,140,146,152,159,166,172,179,185,191,198,205,211,217,223,229,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",30,8,82,"interference",234,"round","long narrow bud",28,36,45,51,57,63,70,82,88,93,99,106,114,120,128,134,142,149,159,170,186,201,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",31,1,66,"interference",234,"round","small-medium bud",25,38,44,50,56,61,67,73,80,87,92,99,106,111,117,124,130,136,143,149,155,161,167,173,179,186,192,199,206,213,219,225,232,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",31,3,115,"interference",234,"round","small-medium bud",28,33,42,49,58,64,70,77,83,89,95,102,107,114,121,127,134,140,146,153,158,165,171,178,184,191,199,205,210,217,223,230,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",31,4,59,"burst",180,"extendedout","no bud",14,23,33,40,46,52,59,65,72,79,88,98,113,131,150,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",31,6,103,"interference",234,"round","no bud",15,21,30,36,45,52,58,65,71,77,83,89,95,103,109,115,137,148,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",31,7,64,"interference",234,"round","small-medium bud",14,24,31,38,44,51,57,64,71,78,83,89,95,103,109,115,121,127,134,140,146,153,159,166,171,178,185,192,198,204,210,216,223,229
2,"yTY159b",154,1,15,39,10,"3_25_19_",31,8,110,"interference",234,"round","small-medium bud",48,54,63,70,77,84,90,97,103,110,115,121,127,134,141,147,152,159,165,172,179,187,197,210,230,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",31,9,89,"interference",234,"round","no bud",10,17,25,32,39,46,53,59,71,77,83,89,96,103,110,117,122,129,136,143,149,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"yTY159b",154,1,15,39,10,"3_25_19_",32,1,85,"interference",234,"round","small-medium bud",27,38,45,54,59,66,73,79,85,91,98,104,110,117,125,134,141,147,154,160,166,173,180,186,193,200,208,217,227,NA,NA,NA,NA,NA
