"cellid","biname","date","xy","trap","bi","strain","replabel","ageatdox","ageatfl","bilength","maxabovelength","numblocks","firstblockabove","numblocks1","generation","strainrep"
"3_12_19 1 5","3_12_19 1 5.bi:1","3_12_19",1,5,"1","yTY159b","1",22,20,50,0,1,FALSE,"1",21,"yTY159b 3_12_19"
"3_12_19 1 5","3_12_19 1 5.bi:2","3_12_19",1,5,"2","yTY159b","1",22,20,60,10,3,FALSE,"3",22,"yTY159b 3_12_19"
"3_12_19 1 5","3_12_19 1 5.bi:3","3_12_19",1,5,"3","yTY159b","1",22,20,60,0,1,FALSE,"1",23,"yTY159b 3_12_19"
"3_12_19 1 5","3_12_19 1 5.bi:4","3_12_19",1,5,"4","yTY159b","1",22,20,80,10,3,FALSE,"3",24,"yTY159b 3_12_19"
"3_12_19 1 5","3_12_19 1 5.bi:5","3_12_19",1,5,"5","yTY159b","1",22,20,80,0,1,FALSE,"1",25,"yTY159b 3_12_19"
"3_12_19 1 5","3_12_19 1 5.bi:6","3_12_19",1,5,"6","yTY159b","1",22,20,60,0,1,FALSE,"1",26,"yTY159b 3_12_19"
"3_12_19 1 5","3_12_19 1 5.bi:7","3_12_19",1,5,"7","yTY159b","1",22,20,100,0,1,FALSE,"1",27,"yTY159b 3_12_19"
"3_12_19 1 5","3_12_19 1 5.bi:8","3_12_19",1,5,"8","yTY159b","1",22,20,20,0,1,FALSE,"1",28,"yTY159b 3_12_19"
"3_12_19 1 7","3_12_19 1 7.bi:1","3_12_19",1,7,"1","yTY159b","1",19,17,90,10,3,FALSE,"3",18,"yTY159b 3_12_19"
"3_12_19 1 7","3_12_19 1 7.bi:2","3_12_19",1,7,"2","yTY159b","1",19,17,100,10,3,FALSE,"3",19,"yTY159b 3_12_19"
"3_12_19 1 7","3_12_19 1 7.bi:3","3_12_19",1,7,"3","yTY159b","1",19,17,110,10,3,FALSE,"3",20,"yTY159b 3_12_19"
"3_12_19 1 7","3_12_19 1 7.bi:4","3_12_19",1,7,"4","yTY159b","1",19,17,100,10,3,FALSE,"3",21,"yTY159b 3_12_19"
"3_12_19 1 7","3_12_19 1 7.bi:5","3_12_19",1,7,"5","yTY159b","1",19,17,100,20,3,FALSE,"3",22,"yTY159b 3_12_19"
"3_12_19 1 10","3_12_19 1 10.bi:1","3_12_19",1,10,"1","yTY159b","1",21,18,50,0,1,FALSE,"1",19,"yTY159b 3_12_19"
"3_12_19 1 10","3_12_19 1 10.bi:2","3_12_19",1,10,"2","yTY159b","1",21,18,80,0,1,FALSE,"1",20,"yTY159b 3_12_19"
"3_12_19 1 10","3_12_19 1 10.bi:3","3_12_19",1,10,"3","yTY159b","1",21,18,60,0,1,FALSE,"1",21,"yTY159b 3_12_19"
"3_12_19 1 10","3_12_19 1 10.bi:4","3_12_19",1,10,"4","yTY159b","1",21,18,70,10,3,FALSE,"3",22,"yTY159b 3_12_19"
"3_12_19 1 10","3_12_19 1 10.bi:5","3_12_19",1,10,"5","yTY159b","1",21,18,70,0,1,FALSE,"1",23,"yTY159b 3_12_19"
"3_12_19 1 10","3_12_19 1 10.bi:6","3_12_19",1,10,"6","yTY159b","1",21,18,70,0,1,FALSE,"1",24,"yTY159b 3_12_19"
"3_12_19 1 10","3_12_19 1 10.bi:7","3_12_19",1,10,"7","yTY159b","1",21,18,70,0,1,FALSE,"1",25,"yTY159b 3_12_19"
"3_12_19 1 10","3_12_19 1 10.bi:8","3_12_19",1,10,"8","yTY159b","1",21,18,40,0,1,FALSE,"1",26,"yTY159b 3_12_19"
"3_12_19 2 2","3_12_19 2 2.bi:1","3_12_19",2,2,"1","yTY159b","1",19,17,60,0,1,FALSE,"1",18,"yTY159b 3_12_19"
"3_12_19 2 2","3_12_19 2 2.bi:2","3_12_19",2,2,"2","yTY159b","1",19,17,70,0,1,FALSE,"1",19,"yTY159b 3_12_19"
"3_12_19 2 2","3_12_19 2 2.bi:3","3_12_19",2,2,"3","yTY159b","1",19,17,80,0,1,FALSE,"1",20,"yTY159b 3_12_19"
"3_12_19 2 2","3_12_19 2 2.bi:4","3_12_19",2,2,"4","yTY159b","1",19,17,70,10,3,FALSE,"3",21,"yTY159b 3_12_19"
"3_12_19 2 2","3_12_19 2 2.bi:5","3_12_19",2,2,"5","yTY159b","1",19,17,70,10,3,FALSE,"3",22,"yTY159b 3_12_19"
"3_12_19 2 2","3_12_19 2 2.bi:6","3_12_19",2,2,"6","yTY159b","1",19,17,80,10,3,FALSE,"3",23,"yTY159b 3_12_19"
"3_12_19 2 2","3_12_19 2 2.bi:7","3_12_19",2,2,"7","yTY159b","1",19,17,40,0,1,FALSE,"1",24,"yTY159b 3_12_19"
"3_12_19 2 7","3_12_19 2 7.bi:1","3_12_19",2,7,"1","yTY159b","1",23,21,90,0,1,FALSE,"1",22,"yTY159b 3_12_19"
"3_12_19 2 7","3_12_19 2 7.bi:2","3_12_19",2,7,"2","yTY159b","1",23,21,70,10,3,FALSE,"3",23,"yTY159b 3_12_19"
"3_12_19 2 7","3_12_19 2 7.bi:3","3_12_19",2,7,"3","yTY159b","1",23,21,100,10,3,FALSE,"3",24,"yTY159b 3_12_19"
"3_12_19 2 7","3_12_19 2 7.bi:4","3_12_19",2,7,"4","yTY159b","1",23,21,100,0,1,FALSE,"1",25,"yTY159b 3_12_19"
"3_12_19 2 7","3_12_19 2 7.bi:5","3_12_19",2,7,"5","yTY159b","1",23,21,120,10,3,FALSE,"3",26,"yTY159b 3_12_19"
"3_12_19 2 7","3_12_19 2 7.bi:6","3_12_19",2,7,"6","yTY159b","1",23,21,20,0,1,FALSE,"1",27,"yTY159b 3_12_19"
"3_12_19 3 2","3_12_19 3 2.bi:1","3_12_19",3,2,"1","yTY159b","1",22,19,60,0,1,FALSE,"1",20,"yTY159b 3_12_19"
"3_12_19 3 2","3_12_19 3 2.bi:2","3_12_19",3,2,"2","yTY159b","1",22,19,70,0,1,FALSE,"1",21,"yTY159b 3_12_19"
"3_12_19 3 2","3_12_19 3 2.bi:3","3_12_19",3,2,"3","yTY159b","1",22,19,70,0,1,FALSE,"1",22,"yTY159b 3_12_19"
